In this Document we have listed the (potential) names of styles to replace the original set with. 
The reason we have different names than the base game RollerCoaster Tycoon 2 is so you can use both OpenRCT2's official soundtrack aswell as RCT2's official soundtrack without it getting confusing. If the game is standalone and RCT2 is not loaded in the game it will fall back onto the following styles:

Gentle style                | Soft style
Summer style                | Spring style
Water style                 | Fountain style
Ragtime style               | 1900 style
Techno style                | Acid style
Mechanical style            | Club style
Modern style                | House style
Wild west style             | Cowboy style
Pirates style               | Sailor style
Rock style 1/2/3            | Rock style 4 / Metal style 1/2
Fantasy style               | Magic style
Horror style                | Terror style
Toyland style               | Joy style
Candy style                 | Sweets style
Roman fanfare style         | Empire style
Oriental style              | Eastern style
Martian style               | Alien style
Space style                 | Galaxy style
Jungle drums style          | Swamp style
Jurassic style              | Pre-history style
Egyptian style              | Arabian style
Dodgems beat style          | Bumpercar style
Snow style                  | Winter style
Ice style                   | Frost style
Medieval style              | Miners style
Urban style                 | Breakdance style
Organ style                 | Church style


Name changes are still possible.
